Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,22,14,00,00,2.52833
2020,01,22,15,00,00,2.04333
2020,01,22,16,00,00,1.47833
2020,01,22,17,00,00,1.015
2020,01,22,18,00,00,0.62667
2020,01,22,19,00,00,-0.06833
2020,01,22,20,00,00,-0.22667
2020,01,22,21,00,00,-0.26667
2020,01,22,22,00,00,-0.17167
2020,01,22,23,00,00,-0.33333
2020,01,23,00,00,00,-0.42833
2020,01,23,01,00,00,-0.66667
2020,01,23,02,00,00,-1.10333
2020,01,23,03,00,00,-1.94167
2020,01,23,04,00,00,-1.76667
2020,01,23,05,00,00,-2.12
2020,01,23,06,00,00,-2.21333
2020,01,23,07,00,00,-2.04333
2020,01,23,08,00,00,-1.86667
2020,01,23,09,00,00,-1.51333
2020,01,23,10,00,00,-1.00833
2020,01,23,11,00,00,0.09
2020,01,23,12,00,00,0.93833
2020,01,23,13,00,00,1.14167
2020,01,23,14,00,00,1.46167
2020,01,23,15,00,00,1.43667
2020,01,23,16,00,00,1.72667
2020,01,23,17,00,00,2.64833
2020,01,23,18,00,00,3.17
2020,01,23,19,00,00,3.55833
2020,01,23,20,00,00,3.58
2020,01,23,21,00,00,3.08
2020,01,23,22,00,00,2.4
2020,01,23,23,00,00,1.96167
2020,01,24,00,00,00,1.46833
2020,01,24,01,00,00,1.275
2020,01,24,02,00,00,1.35833
2020,01,24,03,00,00,1.43167
2020,01,24,04,00,00,1.78167
2020,01,24,05,00,00,1.83
2020,01,24,06,00,00,2.18167
2020,01,24,07,00,00,2.19833
2020,01,24,08,00,00,2.26167
2020,01,24,09,00,00,2.35667
2020,01,24,10,00,00,2.57167
2020,01,24,11,00,00,3.15667
2020,01,24,12,00,00,3.52333
2020,01,24,13,00,00,3.94
2020,01,24,14,00,00,3.435
2020,01,24,15,00,00,3.25333
2020,01,24,16,00,00,2.35
2020,01,24,17,00,00,1.48833
2020,01,24,18,00,00,1.225
2020,01,24,19,00,00,0.94833
2020,01,24,20,00,00,0.91667
2020,01,24,21,00,00,0.96833
2020,01,24,22,00,00,1.14667
2020,01,24,23,00,00,1.17333
2020,01,25,00,00,00,1.06167
2020,01,25,01,00,00,1.035
2020,01,25,02,00,00,0.91333
2020,01,25,03,00,00,1.30167
2020,01,25,04,00,00,1.32
2020,01,25,05,00,00,1.42833
2020,01,25,06,00,00,1.235
2020,01,25,07,00,00,1.19833
2020,01,25,08,00,00,1.11667
2020,01,25,09,00,00,0.99667
2020,01,25,10,00,00,1.5
2020,01,25,11,00,00,2.10333
2020,01,25,12,00,00,2.47167
2020,01,25,13,00,00,2.425
2020,01,25,14,00,00,2.11
2020,01,25,15,00,00,1.69333
2020,01,25,16,00,00,0.98667
2020,01,25,17,00,00,0.51333
